year,month,day,hour,minute,msl,t2m,tp,u10,v10,vis
2010,1,1,0,0,100152.29793,6.77893,0.25844,2.4207,3.45907,10000.0
2010,1,1,1,0,100098.15034,6.67939,0.21209,1.0874,3.88714,4000.0
2010,1,1,2,0,100006.92782,6.71628,0.65659,1.60937,4.74827,4000.0
2010,1,1,3,0,99978.03563,7.06988,0.7139,2.21093,4.9225,4000.0
2010,1,1,4,0,99952.07308,7.38589,0.46596,1.58777,4.23748,4000.0
2010,1,1,5,0,99964.70078,7.32464,0.37761,1.0547,2.60734,4000.0
2010,1,1,6,0,100040.77006,7.25643,0.11255,1.23794,0.73653,3000.0
2010,1,1,7,0,100230.99378,6.76013,0.12397,1.7087,-1.77919,3000.0
2010,1,1,8,0,100420.20728,6.52626,0.04475,1.13491,-3.34101,3000.0
2010,1,1,9,0,100625.78628,6.64946,0.00479,0.71597,-3.47827,600.0
2010,1,1,10,0,100878.54238,7.79518,0.02717,1.21943,-2.59144,10000.0
2010,1,1,11,0,101012.59807,8.44669,0.11917,2.1628,-2.20537,10000.0
2010,1,1,12,0,101051.9965,9.03625,0.12488,3.21415,-1.67452,10000.0
2010,1,1,13,0,101095.33478,9.70865,0.00913,3.76573,-0.74444,10000.0
2010,1,1,14,0,101128.36885,10.2293,0.0468,4.28462,-0.03623,10000.0
2010,1,1,15,0,101185.04198,9.74067,0.02488,4.4074,0.39747,10000.0
2010,1,1,16,0,101255.35303,9.79079,0.00753,3.78794,0.80485,10000.0
2010,1,1,17,0,101327.98758,8.5156,0.00662,3.04756,1.13075,10000.0
2010,1,1,18,0,101394.05572,8.43903,0.01712,2.46574,1.4905,10000.0
2010,1,1,19,0,101436.78786,8.32836,0.01621,2.0209,1.84962,10000.0
2010,1,1,20,0,101468.00355,8.304,0.00959,1.43785,1.88534,10000.0
2010,1,1,21,0,101513.46328,7.7026,0.05616,1.39898,2.13165,10000.0
2010,1,1,22,0,101540.33503,7.80701,0.12831,1.25028,2.32155,10000.0
2010,1,1,23,0,101569.02517,7.08798,0.02009,0.82641,2.3322,10000.0
2010,1,2,0,0,101580.8447,8.00608,0.00753,0.42784,2.26953,5000.0
2010,1,2,1,0,101567.91393,7.12835,0.01142,0.04963,2.38172,4000.0
2010,1,2,2,0,101551.44741,7.44575,0.05297,-0.14904,2.50456,4000.0
2010,1,2,3,0,101556.49849,8.01861,0.12488,-0.33537,2.7446,4000.0
2010,1,2,4,0,101547.81063,7.66293,0.20753,-0.44581,2.89376,10000.0
2010,1,2,5,0,101503.46214,7.85017,0.38058,-0.85796,3.0893,8000.0
2010,1,2,6,0,101479.72205,7.85434,0.67805,-1.06033,3.2955,10000.0
2010,1,2,7,0,101511.13978,8.15226,0.47532,-1.10845,3.45093,10000.0
2010,1,2,8,0,101516.79699,8.18567,0.53605,-1.21889,3.59445,10000.0
2010,1,2,9,0,101553.7709,8.29634,0.32282,-1.21889,4.02878,10000.0
2010,1,2,10,0,101559.32709,9.00841,0.08105,-1.04614,4.37912,10000.0
