year,month,day,hour,minute,wind_dir,wind_speed,temp,dewpt,press,vis
2010,1,1,0,0,150,7,5,4,1001,10000
2010,1,1,1,0,120,5,5,4,1000,4000
2010,1,1,2,0,120,5,5,5,999,4000
2010,1,1,3,0,190,9,5,4,999,4000
2010,1,1,4,0,90,6,5,5,999,4000
2010,1,1,5,0,110,6,5,5,999,4000
2010,1,1,6,0,80,6,5,5,999,3000
2010,1,1,7,0,270,3,4,4,1002,3000
2010,1,1,8,0,340,4,4,4,1004,3000
2010,1,1,9,0,318,2,4,4,1006,600
2010,1,1,10,0,296,2,6,6,1008,10000
2010,1,1,11,0,274,2,7,7,1009,10000
2010,1,1,12,0,252,2,8,6,1010,10000
2010,1,1,13,0,230,6,9,7,1010,10000
2010,1,1,14,0,240,6,10,7,1011,10000
2010,1,1,15,0,260,6,8,6,1011,10000
2010,1,1,16,0,210,8,8,6,1012,10000
2010,1,1,17,0,220,5,8,6,1013,10000
2010,1,1,18,0,250,6,7,6,1014,10000
2010,1,1,19,0,210,4,7,6,1014,10000
2010,1,1,20,0,200,3,6,5,1014,10000
2010,1,1,21,0,210,4,7,6,1014,10000
2010,1,1,22,0,0,0,6,5,1015,10000
2010,1,1,23,0,160,4,6,6,1015,10000
2010,1,2,0,0,130,4,6,6,1015,5000
2010,1,2,1,0,110,4,6,6,1015,4000
2010,1,2,2,0,130,5,6,6,1015,4000
2010,1,2,3,0,140,6,6,6,1015,4000
2010,1,2,4,0,120,6,6,6,1015,10000
2010,1,2,5,0,140,6,7,6,1014,8000
2010,1,2,6,0,140,6,6,6,1014,10000
2010,1,2,7,0,130,6,7,6,1014,10000
2010,1,2,8,0,120,6,7,7,1014,10000
2010,1,2,9,0,120,6,7,7,1015,10000
2010,1,2,10,0,130,8,7,7,1015,10000
2010,1,2,11,0,130,8,8,7,1015,10000
2010,1,2,12,0,140,8,9,8,1014,10000
2010,1,2,13,0,140,10,9,8,1014,10000
2010,1,2,14,0,180,9,10,9,1013,7000
2010,1,2,15,0,180,12,10,9,1012,3500
2010,1,2,16,0,170,15,10,9,1012,6000
2010,1,2,17,0,170,13,10,9,1011,7000
2010,1,2,18,0,170,15,11,9,1011,10000
2010,1,2,19,0,180,14,11,10,1011,8000
