year,month,day,hour,minute,temp,dewpt,press,wind_sin,wind_cos,wind_speed,roll_proportion_72_class_3.0,roll_proportion_72_class_2.0,roll_proportion_72_class_1.0,roll_proportion_72_class_0.0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_24,tp,u10,v10,vis
2010,1,4,0,0,7.0,7.0,1011.0,0.984807753012208,0.1736481776669304,6.0,0.8194444444444444,0.1666666666666666,0.0138888888888888,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,-2.00555,0.31223,3
2010,1,4,1,0,7.0,6.0,1011.0,0.9396926207859084,0.3420201433256688,4.0,0.8194444444444444,0.1666666666666666,0.0138888888888888,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,-2.10612,0.42066,3
2010,1,4,2,0,6.0,6.0,1010.0,0.9396926207859084,0.3420201433256688,6.0,0.8333333333333334,0.1527777777777778,0.0138888888888888,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,-2.18509,0.55791,3
2010,1,4,3,0,7.0,6.0,1010.0,0.984807753012208,0.1736481776669304,7.0,0.8472222222222222,0.1388888888888889,0.0138888888888888,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,-2.53122,0.41627,3
2010,1,4,4,0,7.0,6.0,1009.0,1.0,6.123233995736766e-17,5.0,0.8611111111111112,0.125,0.0138888888888888,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,-2.46767,0.21822,3
2010,1,4,5,0,7.0,6.0,1008.0,0.984807753012208,0.1736481776669304,6.0,0.875,0.1111111111111111,0.0138888888888888,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,-2.54788,0.227,3
2010,1,4,6,0,6.0,6.0,1007.0,0.984807753012208,-0.1736481776669303,5.0,0.8888888888888888,0.0972222222222222,0.0138888888888888,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,-2.90635,0.08661,3
2010,1,4,7,0,6.0,5.0,1006.0,1.0,6.123233995736766e-17,6.0,0.9027777777777778,0.0833333333333333,0.0138888888888888,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.00046,-3.06429,-0.12398,3
2010,1,4,8,0,7.0,5.0,1005.0,1.0,6.123233995736766e-17,7.0,0.9166666666666666,0.0694444444444444,0.0138888888888888,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,-3.05504,-0.24682,3
2010,1,4,9,0,6.0,5.0,1005.0,1.0,6.123233995736766e-17,5.0,0.9305555555555556,0.0555555555555555,0.0138888888888888,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,-3.40981,-0.48874,3
