year,month,day,hour,minute,msl,t2m,tp,u10,v10,vis
2010,1,1,0,0,100291.70777,9.58754,1.14059,6.48047,3.32119,8000.0
2010,1,1,1,0,100257.66348,9.4003,1.89444,6.66309,4.53957,4000.0
2010,1,1,2,0,100155.93471,9.56039,2.41268,7.23874,5.59123,6000.0
2010,1,1,3,0,100126.03231,9.61259,1.97366,8.01984,5.5367,8000.0
2010,1,1,4,0,100102.29223,9.5931,1.43852,9.05823,5.02153,8000.0
2010,1,1,5,0,100072.89494,9.6815,2.24009,8.41225,2.96082,6000.0
2010,1,1,6,0,100088.85635,9.72744,2.37616,7.5133,0.34482,9000.0
2010,1,1,7,0,100239.78266,9.78939,0.54016,5.48095,-2.68357,10000.0
2010,1,1,8,0,100428.39003,9.71143,0.10433,3.02412,-4.16642,10000.0
2010,1,1,9,0,100659.5275,9.62164,0.01621,1.87776,-4.06615,10000.0
2010,1,1,10,0,100946.22686,9.47686,0.0258,1.92465,-3.29651,10000.0
2010,1,1,11,0,101088.66735,9.79983,0.03425,1.75559,-3.6149,10000.0
2010,1,1,12,0,101156.75593,10.17083,0.02854,2.33926,-2.64032,10000.0
2010,1,1,13,0,101229.59252,10.77919,0.06004,3.25487,-1.8287,10000.0
2010,1,1,14,0,101253.83771,11.15855,0.03813,3.40048,-1.25461,10000.0
2010,1,1,15,0,101304.95465,11.21771,0.02488,4.00327,-0.72564,10000.0
2010,1,1,16,0,101360.8196,11.28523,0.06004,3.86013,-0.04939,10000.0
2010,1,1,17,0,101417.49273,10.59195,0.07351,3.50722,0.30847,10000.0
2010,1,1,18,0,101486.59152,10.10332,0.02009,3.50722,0.81111,10000.0
2010,1,1,19,0,101513.96838,9.92234,0.03379,3.18638,1.53061,10000.0
2010,1,1,20,0,101530.23287,10.18545,0.05251,2.93712,2.25449,8000.0
2010,1,1,21,0,101584.98659,10.29473,0.08356,2.82668,2.51897,10000.0
2010,1,1,22,0,101598.1194,10.46527,0.01712,2.68292,2.97586,10000.0
2010,1,1,23,0,101630.24427,9.93765,0.0573,1.75621,2.97461,10000.0
2010,1,2,0,0,101627.31464,10.50355,0.05867,1.3089,3.20713,8000.0
2010,1,2,1,0,101620.44517,9.87083,0.13264,0.79371,3.25225,10000.0
2010,1,2,2,0,101591.1489,9.65645,0.33948,0.23349,3.16764,10000.0
2010,1,2,3,0,101595.49283,10.02675,0.42784,-0.40694,3.43024,10000.0
2010,1,2,4,0,101577.61201,9.75877,0.75819,-0.70494,4.15224,10000.0
2010,1,2,5,0,101510.53365,9.99334,0.69426,-1.30959,4.06701,10000.0
2010,1,2,6,0,101511.64489,9.89519,0.41528,-1.24789,4.41234,10000.0
2010,1,2,7,0,101543.66874,9.92373,0.19314,-1.05477,4.95321,10000.0
2010,1,2,8,0,101548.82084,9.97524,0.18538,-1.34476,5.33114,6000.0
2010,1,2,9,0,101579.53142,10.11237,0.14588,-1.4953,6.00362,6000.0
2010,1,2,10,0,101591.65401,10.91701,0.23515,-2.26345,5.62006,6000.0
2010,1,2,11,0,101592.15912,11.59846,0.2388,-2.33625,6.2399,6000.0
2010,1,2,12,0,101512.15,11.80031,0.29382,-2.4652,6.67611,7000.0
2010,1,2,13,0,101425.17038,12.02793,0.15981,-2.6793,6.96754,5000.0
2010,1,2,14,0,101312.53127,12.05229,0.15068,-2.60094,7.48084,4000.0
2010,1,2,15,0,101254.84792,12.07595,0.21552,-2.46273,7.8199,4000.0
2010,1,2,16,0,101237.37118,12.16853,0.39199,-1.96174,7.85688,900.0
2010,1,2,17,0,101222.01589,12.33837,0.12488,-1.6588,8.36642,5500.0
2010,1,2,18,0,101231.61295,12.59034,0.19657,-1.70014,8.6378,7000.0
2010,1,2,19,0,101215.55051,12.79986,0.06781,-1.82724,9.18932,7000.0
2010,1,2,20,0,101204.84222,12.91819,0.04338,-1.97532,9.41181,5000.0
2010,1,2,21,0,101173.22245,12.94255,0.00868,-2.02961,9.53967,3000.0
2010,1,2,22,0,101065.73544,12.83118,0.04863,-2.07773,9.55346,3000.0
2010,1,2,23,0,101109.47781,12.6857,1.46204,-1.9383,9.26767,3000.0
2010,1,3,0,0,101053.41081,12.65438,1.43282,-1.86549,9.07839,2000.0
2010,1,3,1,0,101037.0453,12.54858,0.92645,-1.98519,9.07463,2000.0
2010,1,3,2,0,100969.86592,12.44974,2.38985,-2.37265,8.78508,3000.0
2010,1,3,3,0,100940.7717,12.61958,2.87636,-2.70459,8.73118,3000.0
2010,1,3,4,0,100875.20866,12.71842,2.77568,-2.89216,8.9449,3000.0
2010,1,3,5,0,100864.80344,12.74139,2.53254,-1.913,9.29085,3000.0
2010,1,3,6,0,100879.95668,12.86738,2.1716,0.07863,8.18466,900.0
2010,1,3,7,0,100933.49814,12.65925,1.03146,1.94377,6.04812,3000.0
2010,1,3,8,0,100991.18149,12.81308,0.73901,2.75881,3.15636,10000.0
2010,1,3,9,0,101101.29506,12.40102,0.42053,2.73166,0.94712,10000.0
2010,1,3,10,0,101208.17593,12.63837,0.2251,1.90614,0.47142,10000.0
2010,1,3,11,0,101277.27472,13.16251,0.08013,2.07519,0.66508,10000.0
2010,1,3,12,0,101299.09539,13.27596,0.08538,2.1264,0.66571,10000.0
2010,1,3,13,0,101206.66061,13.47782,0.03151,0.96524,1.221,10000.0
2010,1,3,14,0,101160.59475,13.6226,0.01324,0.74682,1.67413,10000.0
2010,1,3,15,0,101195.34619,13.46181,0.00297,1.23609,2.16361,10000.0
2010,1,3,16,0,101229.69354,13.31007,0.00046,1.65996,2.54529,10000.0
2010,1,3,17,0,101280.10333,12.12398,0.00297,1.65441,2.66187,10000.0
2010,1,3,18,0,101302.22706,12.26807,0.01278,0.7752,2.93199,10000.0
2010,1,3,19,0,101290.40753,11.89498,0.01804,-0.51738,2.64118,10000.0
2010,1,3,20,0,101276.66859,11.17595,0.00046,-1.88585,1.8797,10000.0
2010,1,3,21,0,101209.79228,10.71167,0.0,-2.81935,1.15457,10000.0
2010,1,3,22,0,101116.14523,10.03301,0.0,-2.44484,0.11356,10000.0
2010,1,3,23,0,101088.06122,9.44624,0.0,-2.07835,0.18563,10000.0
2010,1,4,0,0,101097.15317,9.0105,0.0,-2.02221,0.17874,10000.0
